symbol,name,exchange,icoDate,circulatingSupply,totalSupply,price,changePercentage,change,volume,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,open,previousClose,timestamp,daily_range_pct,ytd_gain_pct,distance_from_50ma_pct,distance_from_200ma_pct,market_cap_category,volume_to_mcap_ratio,data_collected_at
MIOTAUSD,IOTA USD,CRYPTO,2017-11-09,4232705124,4788606639,0.069042,-1.36629,-0.000956378067,7564988,0.068794,0.071737,0.29483,0.063625,292234427,0.08794054,0.14131,0.06999838,0.06999838,1770627500,4.26,8.51,-21.49,-51.14,Mid (100M-1B),2.59,2026-02-09 09:58:49
EVMOSUSD,Evmos USD,CRYPTO,2022-05-04,512693177.850936,1000000000,0.00086459133,0,0,110,0.00084917,0.00086459133,0.013357,0.000375,443270,0.00081994,0.00159244,0.00086459133,0.00086459133,1770627420,1.78,130.56,5.45,-45.71,Micro (<10M),0.02,2026-02-09 09:58:50
LIBREUSD,Libre DeFi USD,CRYPTO,2021-11-11,3354012475.4669,3354012475.4669,0.00011017,0,0,10751,0.00011017,0.00011017,0.00160476,6.028e-05,369511,0.000212245,0.0004350992,0.00011017,0.00011017,1770475067,0.0,82.76,-48.09,-74.68,Micro (<10M),2.91,2026-02-09 09:58:51
DSMUSD,Desmos USD,CRYPTO,2022-01-15,92711441,161917796,0.00662956,-0.28614,-1.9024523e-05,94,0.00661972,0.00666831,0.01505808,0.00013957,614636,0.00690935,0.00797567,0.00664858,0.00664858,1770627392,0.73,4649.99,-4.05,-16.88,Micro (<10M),0.02,2026-02-09 09:58:52
TRADEUSD,Unitrade USD,CRYPTO,2020-08-05,35782805,50000000,0.00071482,0,0,1,0.00071482,0.00071482,0.04863476,0.000653,25578,0.00751768,0.01399914,0.00071482,0.00071482,1769956361,0.0,9.47,-90.49,-94.89,Micro (<10M),0.0,2026-02-09 09:58:53
HIFIUSD,Hifi Finance USD,CRYPTO,2021-09-16,155754925.1460498,166973661.0042753,0.01409075,-2.47612,-0.000357762206,85587,0.0140245,0.01529214,0.85844,0.01317788,2194703,0.02116915,0.06259442,0.01444851,0.01444851,1770627428,9.0,6.93,-33.44,-77.49,Micro (<10M),3.9,2026-02-09 09:58:55
TAROTUSD,Tarot USD,CRYPTO,2021-08-26,67700000,100000000,0.03236894,-1.09104,-0.000357054,86070,0.03236894,0.03296059,0.12802,0.03236894,2191377,0.04646506,0.07545771,0.03272599,0.03272599,1770627360,1.83,0.0,-30.34,-57.1,Micro (<10M),3.93,2026-02-09 09:58:56
BBSOLUSD,Bybit Staked SOL USD,CRYPTO,2024-11-07,1599715.570771309,1599715.570771309,95.77,-2.30915,-2.26374,592818,95.07,99.27168,280.09988,80.13145,153204760,140.67557,186.0222,98.03375,98.03375,1770627498,4.39,19.52,-31.92,-48.52,Mid (100M-1B),0.39,2026-02-09 09:58:57
BLURUSD,Blur USD,CRYPTO,2023-02-14,2678904479.40449,3000000000,0.02003136,-0.2091,-4.1974e-05,6738112,0.02002886,0.02068571,0.15561,0.017126,53662100,0.02932234,0.05487211,0.02007333,0.02007333,1770627497,3.28,16.96,-31.69,-63.49,Small (10M-100M),12.56,2026-02-09 09:58:59
1000SATSUSD,1000SATS (Ordinals) USD,CRYPTO,2023-12-12,2099999965970432,,3.752e-05,-8.16593,-3.336294e-06,7062041,3.752e-05,4.142e-05,0.000380999991,1.07724e-07,78792002,3.91014e-05,3.9374483e-05,4.0856294e-05,4.0856294e-05,1758520816,10.39,34729.75,-4.04,-4.71,Small (10M-100M),8.96,2026-02-09 09:59:00
PENDLEUSD,Pendle USD,CRYPTO,2021-04-29,169015146.8396489,281527448.4585314,1.13,-3.11752,-0.0363615,34713432,1.116,1.16664,6.25761,1.0513,190987115,1.91299,3.36744,1.16636,1.16636,1770627500,4.48,7.49,-40.93,-66.44,Mid (100M-1B),18.18,2026-02-09 09:59:01
CELOUSD,Celo USD,CRYPTO,2020-05-22,592171760,1000000000,0.082637,-0.79949,-0.000666,0,0.082385,0.084827,0.49824,0.069106,48935297,0.11527,0.23298,0.083303,0.083303,1770627540,2.96,19.58,-28.31,-64.53,Small (10M-100M),0.0,2026-02-09 09:59:02
USDCUSD,USD Coin USD,CRYPTO,2018-10-08,75614158026.58258,75695042873.24306,0.9997,-0.01978158,-0.000197796066,10485619231,0.9996,1.0001,1.05,0.9912,75591640427,0.9997,0.99975,0.9999,0.9999,1770627535,0.05,0.86,0.0,-0.01,Mega (>10B),13.87,2026-02-09 09:59:03
